,0
0,-9.972170656025929e-05
1,-0.0005675646760745221
2,-0.0014450954726643581
3,-0.0029080352514840617
4,-0.005153255804676076
5,-0.008413244164593154
6,-0.012962018485512969
7,-0.019120550336968908
8,-0.027262382882207736
9,-0.037819585691743804
10,-0.051289088240299735
11,-0.06823940551749066
12,-0.08931775794265123
13,-0.11525758194727607
14,-0.14688642368789012
15,-0.18513420522136811
16,-0.23104184970862454
17,-0.28577024967265724
18,-0.3506095599845033
19,-0.42698879508485876
20,-0.5164857079821895
21,-0.6208369268153083
22,-0.741948323243395
23,-0.881905585639763
24,-1.0429849690237993
25,-1.2276641928707128
26,-1.4386334573892763
27,-1.6788065485481514
28,-1.9513320020528098
29,-2.2596042966158096
30,-2.607275047209211
31,-2.9982641695231864
32,-3.436770987562095
33,-3.9272852571701997
34,-4.474598079274944
35,-5.08381267774753
36,-5.76035501798974
37,-6.509984243644562
38,-7.338802910178754
39,-8.253266995482015
40,-9.26019566905432
41,-10.366780802796834
42,-11.580596207869398
43,-12.909606583518205
44,-14.362176165200191
45,-15.94707706072811
46,-17.673497264523682
47,-19.551048341390267
48,-21.58977277249548
49,-23.800150957484025
50,-26.193107867818455
51,-28.780019347568526
52,-31.572718058936047
53,-34.58349907081112
54,-37.825125089607134
55,-41.310831332515036
56,-45.05433004415429
57,-49.06981465837784
58,-53.371963607713006
59,-57.97594378359288
60,-62.89741365115033
61,-68.15252602291768
62,-73.75793049629401
63,-79.73077556011748
64,-86.08871037610918
65,-92.84988624134219
66,-100.03295773823673
67,-107.65708357889056
68,-115.741927150826
69,-124.30765677147234
70,-133.37494565890842
71,-142.96497162656308
72,-153.0994165097191
73,-163.80046533178304
74,-175.0908052183779
75,-186.99362406738396
76,-199.53260898310245
77,-212.7319444827408
78,-226.61631048342792
79,-241.2108800779565
80,-256.5413171074218
81,-272.63377353888603
82,-289.51488665613914
83,-307.21177607155687
84,-325.75204056697913
85,-345.16375477143544
86,-365.475465683444
87,-386.7161890455002
88,-408.91540557825004
89,-432.10305708171865
90,-456.30954241082895
91,-481.5657133323101
92,-507.9028702699478
93,-535.3527579449823
94,-563.9475609183088
95,-593.7198990409763
96,-624.702822819327
97,-656.9298087009539
98,-690.4347542874987
99,-725.2519734801409
