n,p
0,0.995
1,0.993
2,0.995
3,0.986
4,0.981
5,0.978
6,0.981
7,0.97
8,0.97
9,0.961
10,0.961
11,0.94
12,0.944
13,0.932
14,0.94
15,0.928
16,0.933
17,0.919
18,0.914
19,0.928
20,0.897
21,0.912
22,0.9
23,0.9
24,0.901
25,0.889
26,0.875
27,0.866
28,0.871
29,0.874
30,0.855
31,0.83
32,0.832
33,0.849
34,0.831
35,0.852
36,0.811
37,0.827
38,0.792
39,0.819
40,0.807
41,0.817
42,0.761
43,0.78
44,0.774
45,0.785
46,0.762
47,0.75
48,0.725
49,0.753
50,0.729
51,0.728
52,0.704
53,0.736
54,0.693
55,0.696
56,0.715
57,0.668
58,0.68
59,0.665
60,0.674
61,0.65
62,0.671
63,0.649
64,0.626
65,0.644
66,0.625
67,0.61
68,0.613
69,0.591
70,0.596
71,0.604
72,0.59
73,0.618
74,0.579
75,0.564
76,0.583
77,0.591
78,0.563
79,0.564
80,0.564
81,0.528
82,0.544
83,0.532
84,0.544
85,0.52
86,0.517
87,0.482
88,0.516
89,0.493
90,0.499
91,0.501
92,0.482
93,0.5
94,0.454
95,0.465
96,0.475
97,0.46
98,0.444
99,0.457
100,0.427
101,0.457
102,0.428
103,0.451
104,0.412
105,0.433
106,0.413
107,0.407
108,0.41
109,0.426
110,0.398
111,0.389
112,0.425
113,0.397
114,0.375
115,0.386
116,0.396
117,0.364
118,0.387
119,0.416
120,0.403
121,0.349
122,0.367
123,0.365
124,0.356
125,0.375
126,0.357
127,0.351
128,0.362
129,0.327
130,0.357
131,0.348
132,0.352
133,0.334
134,0.362
135,0.374
136,0.342
137,0.34
138,0.336
139,0.312
140,0.328
141,0.351
142,0.319
143,0.357
144,0.3
145,0.319
146,0.298
147,0.363
148,0.334
149,0.33
150,0.321
151,0.339
152,0.31
153,0.342
154,0.313
155,0.328
156,0.338
157,0.311
158,0.311
159,0.319
160,0.318
161,0.344
162,0.34
163,0.325
164,0.317
165,0.286
166,0.324
167,0.302
168,0.318
169,0.323
170,0.316
171,0.348
172,0.337
173,0.292
174,0.333
175,0.328
176,0.315
177,0.359
178,0.301
179,0.344
180,0.352
181,0.34
182,0.33
183,0.343
184,0.323
185,0.313
186,0.323
187,0.351
188,0.333
189,0.351
190,0.343
191,0.32
192,0.335
193,0.356
194,0.323
195,0.371
196,0.365
197,0.37
198,0.358
199,0.354
200,0.368
201,0.353
202,0.361
203,0.359
