iteration,loss,training_acc,test_acc
0,1.1288403305275905,0.28125,0.25
1,1.1306386850102979,0.25,0.25
2,1.1581997569929552,0.25,0.25
3,1.1461710518248376,0.265625,0.25
4,1.129363848884368,0.265625,0.25
5,1.0595507042799137,0.421875,0.375
6,1.0225790060391922,0.5,0.5
7,1.0272825830739454,0.5,0.5
8,0.9536854556307899,0.625,0.625
9,0.9557851265240318,0.625,0.625
10,0.955518916201854,0.625,0.625
11,1.0430908515184734,0.375,0.375
12,1.046151842095572,0.359375,0.375
13,0.9548326180519462,0.625,0.625
14,0.9508569447042653,0.609375,0.5625
15,0.9732041543136891,0.5,0.5
16,0.9419595533491278,0.625,0.625
17,1.066447918212801,0.265625,0.25
18,1.0767735178437545,0.265625,0.25
19,0.9558205938316819,0.5625,0.5625
20,0.979166217233888,0.5,0.5
21,0.9375666246118349,0.625,0.625
22,0.9491343945677067,0.609375,0.5625
23,0.9537251750644975,0.484375,0.625
24,0.9556934194241858,0.53125,0.5625
25,0.9435455486439643,0.625,0.625
26,0.9267823617501983,0.671875,0.625
27,0.9309403349757466,0.5625,0.625
28,0.9391736163921522,0.65625,0.625
29,0.9272375808882971,0.625,0.625
30,0.9667256637121383,0.703125,0.5625
31,0.9236517097004281,0.75,0.6875
32,1.0104019380191849,0.59375,0.5625
33,1.0111080946821627,0.625,0.625
34,0.923221836217333,0.65625,0.625
35,0.9378807802214613,0.6875,0.625
36,0.9151647975617827,0.640625,0.625
37,0.9151647975617827,0.640625,0.625
38,0.9665458193628267,0.625,0.625
39,0.9307669957860343,0.65625,0.5625
40,0.9151647975617827,0.640625,0.625
41,0.9665458193628267,0.625,0.625
42,0.9307669957860343,0.65625,0.5625
43,0.9151647975617827,0.640625,0.625
44,0.8895376608053046,0.625,0.625
45,0.878801328943903,0.625,0.625
46,0.878801328943903,0.625,0.625
47,0.8932559377278904,0.625,0.625
48,0.8812670994661961,0.625,0.625
49,0.878801328943903,0.625,0.625
50,0.8981675329886303,0.625,0.625
51,0.9125487814864718,0.625,0.625
52,0.878801328943903,0.625,0.625
53,0.8920903045547217,0.625,0.625
54,0.8755745992013442,0.625,0.625
55,0.8755745992013441,0.625,0.625
