iteration,loss,training_acc,test_acc
0,1.0830723479456053,0.25,0.25
1,1.0842865498217302,0.25,0.25
2,1.0979459440782762,0.25,0.25
3,1.091983603398664,0.25,0.25
4,1.0834850244660752,0.25,0.25
5,1.0391174338744298,0.421875,0.375
6,1.014234410127869,0.5,0.5
7,1.0171609503074903,0.5,0.5
8,0.9690687507836869,0.609375,0.5625
9,0.9653136447068145,0.625,0.625
10,0.9661282565384776,0.625,0.625
11,1.030298761086098,0.375,0.375
12,1.0289736002366274,0.375,0.375
13,0.9685618198994821,0.625,0.625
14,0.9557905835094623,0.5,0.5
15,0.9560674419118207,0.5,0.5
16,0.9505720039725002,0.5,0.5
17,1.0622651567218306,0.25,0.25
18,1.0622302532767178,0.25,0.25
19,0.9475074746013333,0.5,0.5
20,0.9502371410509911,0.5,0.5
21,0.9456004044056929,0.5,0.5
22,0.9465980976719215,0.5,0.5
23,0.9420689765034459,0.5,0.5
24,0.9929975689711117,0.5,0.4375
25,0.9462080406853388,0.5,0.5
26,0.9533188725731017,0.625,0.625
27,0.9737198660850747,0.625,0.625
28,0.9488099502376129,0.5,0.5
29,0.9672105488355524,0.671875,0.6875
30,0.9862184766867612,0.625,0.625
31,0.9295343890288842,0.625,0.6875
32,1.0115040297700357,0.515625,0.625
33,0.9881392403649771,0.625,0.625
34,0.9364865529372359,0.515625,0.5625
35,0.9448696727142194,0.5,0.5
36,0.928665104757495,0.625,0.6875
37,0.928665104757495,0.625,0.6875
38,0.9325548358204061,0.640625,0.625
39,0.969530326357519,0.84375,0.8125
40,0.928665104757495,0.625,0.6875
41,0.9311025469641754,0.640625,0.6875
42,0.971726441715169,0.796875,0.8125
43,0.928665104757495,0.625,0.6875
44,0.8885583983403134,0.625,0.625
45,0.8976264372527494,0.625,0.625
46,0.8885583983403134,0.625,0.625
47,0.9030734727065914,0.625,0.625
48,0.9015350182082538,0.625,0.625
49,0.8885583983403134,0.625,0.625
50,0.9063130073242476,0.625,0.625
51,0.9016809363904394,0.625,0.625
52,0.8885583983403134,0.625,0.625
53,0.9724329013408987,0.625,0.625
54,0.9098783344250048,0.625,0.625
55,0.8885583983403134,0.625,0.625
56,0.8846320977293008,0.625,0.625
57,0.8773220493872458,0.625,0.625
58,0.8773220493872459,0.625,0.625
59,0.9863450821416335,0.625,0.625
60,0.9339591668537395,0.734375,0.75
61,0.8773220493872459,0.625,0.625
62,0.9312676270693323,0.625,0.625
63,0.9222002845252082,0.625,0.625
64,0.8362025950892877,0.625,0.625
65,0.899295611720546,0.625,0.625
66,0.8279040418283248,0.625,0.625
67,0.8684981076663152,0.625,0.625
68,0.8291768229524775,0.625,0.625
69,0.8655262152279042,0.625,0.625
70,0.8274387635937895,0.625,0.625
71,0.8550865863079031,0.625,0.625
72,0.8344464678981325,0.625,0.625
73,0.8720995311422317,0.625,0.625
74,0.827101687577199,0.625,0.625
75,0.8751594078036322,0.625,0.6875
76,0.8339053043045123,0.625,0.625
77,0.9275463359269999,0.625,0.625
78,0.8261764546569569,0.625,0.625
79,0.8458586438786501,0.625,0.625
80,0.8262407561742969,0.625,0.625
81,0.9400387524341868,0.6875,0.6875
82,0.8242158300810187,0.625,0.625
83,0.8443372685069835,0.625,0.625
84,0.8460460284881643,0.625,0.625
85,0.8772099943237321,0.609375,0.5625
86,0.8253185076386513,0.625,0.625
87,0.8512236313507595,0.625,0.625
88,0.8243801223428129,0.625,0.625
89,0.82884141495755,0.625,0.625
90,0.8240030499980836,0.625,0.625
91,0.8233569969065617,0.625,0.625
92,0.8233784968392857,0.625,0.625
93,0.8291614326714793,0.625,0.625
94,0.8135720416065277,0.625,0.625
95,0.9225705106457904,0.625,0.625
96,0.8169875954724597,0.625,0.625
