Iteration,Loss,Test loss,Accuracy,Test accuracy
0,0.9117760648121561,0.8959340712380469,0.5,0.5
1,0.8953521771616192,0.8805781553253036,0.5,0.5
2,0.8798615742491915,0.8660414825790829,0.5,0.5
3,0.8651647682994136,0.8522707723378139,0.5,0.5
4,0.8512137174835257,0.8391992860158606,0.5,0.5
5,0.8379301833361756,0.8267683028896894,0.5,0.5
6,0.8252738158246942,0.8149693295542603,0.5,0.5078125
7,0.8132505337135704,0.8037976003400709,0.5234375,0.5234375
8,0.8018640306752195,0.793224556350736,0.5390625,0.546875
9,0.7910910075624779,0.7831908298920521,0.6015625,0.625
10,0.7808748952158383,0.7736160496660034,0.6640625,0.6484375
11,0.7711360578842268,0.7644098528632632,0.7109375,0.6796875
12,0.7617833081427892,0.755474596564566,0.78125,0.7734375
13,0.752716947530395,0.746707838044788,0.828125,0.8359375
14,0.7438314236968481,0.7380124506352445,0.875,0.875
15,0.7350257738067678,0.7293114067663703,0.8984375,0.90625
16,0.7262189677502627,0.7205584700561082,0.921875,0.9296875
17,0.7173611447714389,0.7117415970341279,0.9453125,0.9453125
18,0.7084373320698509,0.7028811133569298,0.96875,0.96875
19,0.6994657140415822,0.694024240538454,0.9921875,0.96875
20,0.690492094696274,0.6852366014869595,1.0,0.9765625
21,0.6815812391248923,0.6765918732040429,1.0,0.984375
22,0.6728063305600855,0.6681614030883397,1.0,0.984375
23,0.6642384301185276,0.6600055782414189,1.0,0.9921875
24,0.6559377763795472,0.6521682514345859,1.0,1.0
25,0.6479482377936774,0.6446748399876027,1.0,1.0
26,0.6402955006303641,0.6375338885155449,1.0,1.0
27,0.6329887202641712,0.6307411021726362,1.0,1.0
28,0.6260245848371462,0.6242844094101969,1.0,1.0
29,0.6193923312681403,0.6181486153945072,1.0,1.0
30,0.6130782950747592,0.6123185725236916,1.0,1.0
31,0.6070689545709025,0.6067804193536969,1.0,1.0
32,0.6013520467982245,0.6015211490128762,1.0,1.0
33,0.5959160308666215,0.5965272578075597,1.0,1.0
34,0.5907486589322866,0.5917832824439662,1.0,1.0
35,0.5858354711352803,0.5872707355653813,1.0,1.0
36,0.5811587285838749,0.5829675621422505,1.0,1.0
37,0.5766969054914813,0.5788480138238836,1.0,1.0
38,0.5724246311576623,0.5748828766607907,1.0,1.0
39,0.5683130087709375,0.5710402106932322,1.0,1.0
40,0.564330460597065,0.5672869388614672,1.0,1.0
41,0.5604444254556659,0.5635914799438694,1.0,1.0
42,0.5566240853533702,0.5599270547850029,1.0,1.0
43,0.5528437265976056,0.5562746427212434,1.0,1.0
44,0.5490856900778653,0.5526244468889187,1.0,1.0
45,0.5453417608767245,0.5489753544608484,1.0,1.0
46,0.5416124946211058,0.5453327404659772,1.0,1.0
47,0.5379048550339743,0.5417054561431127,1.0,1.0
48,0.5342290324483052,0.538102860199464,1.0,1.0
